X.1,X,ID,Duration_in_seconds,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,Q26_First_Click,Q26_Last_Click,Q26_Page_Submit,Q26_Click_Count,Briefing_Message,Course_Code,Course_Ratings_Learning_Community,Course_Ratings_Findings,Course_Ratings_Resources,Course_Ratings_Relevant_Assessment,Course_Ratings_Quality,Best_Course_Features,Course_Improvements,Instructor_Ratings_Participation,Instructor_Ratings_Feedback,Instructor_Ratings_Overall,BF,IM,Student_Gender.Female.,Student_Gender.Male,Student_Gender.Unknown,Student_Gender.NA,International,Year,WAM,Ethnicity.Asian,Ethnicity.Hispanic,Ethnicity.Indigenous,Ethnicity.Other,Ethnicity.Pacific,Ethnicity.Persian,Ethnicity.Unanswered,Ethnicity.White,Group,Staff_ID,SF_Gender.Female,SF_Gender.Male.,SF_Gender.NA,SF_Ethnicity.Asian,SF_Ethnicity.White,SF_Ethnicity.NA,SF_Birthplace_Australia,SF_Parent_Birthplace_Australia,SF_Language_English.Primary,SF_Language_English.Secondary,SF_Language_English.NA,SF_Course_Experience,SF_Teaching_Experience,Message_Time,No_WAM,RE
1,1,1,-0.161790337,1,50:00.0,R_10qsbG4BxmioSSV,anonymous,EN,"I agree, start questionnaire",3.997,3.997,10.724,1,I have read the above statement,PSYC1011,-0.060997312,-0.831513879,-0.66564486,-0.793871778,-0.760372276,Very interesting content and engaging lecturers,Student-teacher interaction (but understandable due to COVID-19),0.081729139,-0.908011951,6,Engagement,More in depth lecture notes,0,1,0,0,0,1,0.456720395,0,0,0,0,0,0,0,1,1,STAFF_012,0,1,0,0,1,0,Yes,Yes - One,1,0,0,0.227472236,0.21210197,-0.345727664,0,STAFF_012 PSYC1011
2,3,3,-0.161790337,1,50:00.0,R_10qsbG4BxmioSSV,anonymous,EN,"I agree, start questionnaire",3.997,3.997,10.724,1,I have read the above statement,PSYC1011,-0.060997312,-0.831513879,-0.66564486,-0.793871778,-0.760372276,Very interesting content and engaging lecturers,Student-teacher interaction (but understandable due to COVID-19),-0.804717673,0.950082003,6,Very good explanations of complex topics,-,0,1,0,0,0,1,0.456720395,0,0,0,0,0,0,0,1,1,STAFF_034,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,0.49949428,-0.345727664,0,STAFF_034 PSYC1011
3,4,4,-0.155746626,1,29:00.0,R_114UQMsX4o4QbCX,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,-1.623466907,-0.831513879,-2.419814846,-1.691768134,-1.659967645,the tutorials are really engaging and fun,the course is so expensive even though we are not receiving the university experience or face-to-face contact with lecturers,-0.804717673,-0.908011951,5,inclusion of interesting content i.e. videos and examples which relate to everyday life,compulsory quizes,1,0,0,0,0,1,-0.054187166,0,0,0,0,0,1,0,0,0,STAFF_012,0,1,0,0,1,0,Yes,Yes - One,1,0,0,0.227472236,0.21210197,0,0,STAFF_012 PSYC1011
4,5,5,-0.155746626,1,29:00.0,R_114UQMsX4o4QbCX,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,-1.623466907,-0.831513879,-2.419814846,-1.691768134,-1.659967645,the tutorials are really engaging and fun,the course is so expensive even though we are not receiving the university experience or face-to-face contact with lecturers,0.96817595,0.950082003,6,NA,NA,1,0,0,0,0,1,-0.054187166,0,0,0,0,0,1,0,0,0,STAFF_030,0,1,0,0,1,0,No,No,1,0,0,2.819923914,1.170076337,0,0,STAFF_030 PSYC1011
5,6,6,-0.155746626,1,29:00.0,R_114UQMsX4o4QbCX,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,PSYC1011,-1.623466907,-0.831513879,-2.419814846,-1.691768134,-1.659967645,the tutorials are really engaging and fun,the course is so expensive even though we are not receiving the university experience or face-to-face contact with lecturers,-0.804717673,-0.908011951,4,NA,NA,1,0,0,0,0,1,-0.054187166,0,0,0,0,0,1,0,0,0,STAFF_034,0,1,0,0,1,0,No,No,1,0,0,-0.570205203,0.49949428,0,0,STAFF_034 PSYC1011
6,7,7,-0.166020935,1,57:00.0,R_11auszivgCMrY3x,anonymous,EN,"I agree, start questionnaire",1.636,1.636,10.136,1,I have read the above statement,PHYS1160,-0.060997312,-0.135757368,-0.66564486,1.001920934,-0.760372276,The course Materials.,"Provide Actual Lectures for students , for better engagement.",0.081729139,-0.908011951,4,Availability at all times.,more face to face lectures should be provided with the lecturer.,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,STAFF_05,0,1,0,0,1,0,No,No,1,0,0,-1.168463283,-1.033264707,-0.345727664,1,STAFF_05 PHYS1160
7,8,8,-0.141392811,1,33:00.0,R_1CDh1RSFJGCPBew,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,BIOC2101,-0.842232109,-0.135757368,-1.542729853,0.104024578,0.139223093,"""The interaction between course convenor and students. Responses are quick, efficient and helpful.""",Practical classes are hard to study for because of being unable to do the lab. Perhaps a video of the actual experiment being performed could be helpful to watch.,-0.804717673,0.950082003,6,"""Anne's response to student questions is always insightful, quick and helpful. Anne also is very organised which is really helpful.""",I think Anne's teaching is great,1,0,0,0,0,2,0.499296026,1,0,0,0,0,0,0,0,0,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
8,9,9,-0.141392811,1,33:00.0,R_1CDh1RSFJGCPBew,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,BIOC2101,-0.842232109,-0.135757368,-1.542729853,0.104024578,0.139223093,"""The interaction between course convenor and students. Responses are quick, efficient and helpful.""",Practical classes are hard to study for because of being unable to do the lab. Perhaps a video of the actual experiment being performed could be helpful to watch.,-0.804717673,0.950082003,6,"""How much the lecturer knows, the helpful and in-depth responses to every question.""",I think this lecturer does a great job,1,0,0,0,0,2,0.499296026,1,0,0,0,0,0,0,0,0,STAFF_04,1,0,0,0,1,0,Yes,Yes - One,1,0,0,1.224569035,0.116304533,-0.345727664,0,STAFF_04 BIOC2101
9,10,10,-0.144263574,1,45:00.0,R_1d4iAId97SqAdtC,anonymous,EN,"I agree, start questionnaire",NA,NA,NA,NA,NA,MATH1081,-0.842232109,-1.527270391,1.088525125,1.001920934,1.038818462,weekly tests to check knowledge,NA,0.96817595,0.950082003,6,"Engaged with class discussion, answering questions in a really good way",NA,1,0,0,0,0,1,0.839901066,0,0,0,0,0,0,0,1,0,STAFF_08,0,1,0,0,1,0,No,No,1,0,0,1.224569035,2.319645578,0,0,STAFF_08 MATH1081
10,11,11,-0.142601553,1,54:00.0,R_1DJgIRLcoLqV7MM,anonymous,EN,"""I agree, start questionnaire""",0,0,0,0,,BIOC2101,-0.060997312,0.559999143,1.088525125,0.104024578,0.139223093,"""Lana Ly's supporting slides, Anne's dedication, spaced out assessment weightings""",Lecture content is very heavy. One lecture encompasses an entire biological process. This should be broken down through more lectures or just more diluted information,0.96817595,-0.908011951,5,"""dedication, resources, organisation""","""explanations can be run-on, not sure if its her personality or teaching style but sometimes its difficult when she answers questions long windedly when it could be answered with a simple yes or no. just nitpicking at this point""",1,0,0,0,0,2,-0.054187166,1,0,0,0,0,0,0,0,0,STAFF_029,1,0,0,1,0,0,No,No,0,1,0,-0.570205203,-0.841669834,-0.345727664,0,STAFF_029 BIOC2101
